Class,Superorder,Order,Family,Genus,species_binomial,EDGE Scientific name
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus lobatus,Urolophus lobatus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus mitosis,Urolophus mitosis
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus neocaledoniensis,Urolophus neocaledoniensis
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus orarius,Urolophus orarius
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus papilio,Urolophus papilio
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus paucimaculatus,Urolophus paucimaculatus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus piperatus,Urolophus piperatus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus sufflavus,Urolophus sufflavus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus viridis,Urolophus viridis
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus westraliensis,Urolophus westraliensis
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis concentricus,Urobatis concentricus
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis halleri,Urobatis halleri
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis jamaicensis,Urobatis jamaicensis
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis maculatus,Urobatis maculatus
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis marmoratus,Urobatis marmoratus
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis pardalis,NA
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis,Urobatis tumbesensis,Urobatis tumbesensis
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon aspidura,Urotrygon aspidura
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon chilensis,Urotrygon chilensis
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon cimar,Urotrygon cimar
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon microphthalmum,Urotrygon microphthalmum
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon munda,Urotrygon munda
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon nana,Urotrygon nana
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon reticulata,Urotrygon reticulata
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon rogersi,Urotrygon rogersi
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon simulatrix,Urotrygon simulatrix
Elasmobranchii,Batoidea,Myliobatiformes,Urotrygonidae,Urotrygon,Urotrygon venezuelae,Urotrygon venezuelae
Elasmobranchii,Batoidea,Myliobatiformes,Zanobatidae,Zanobatus,Zanobatus maculatus,Zanobatus schoenleinii
Elasmobranchii,Batoidea,Myliobatiformes,Zanobatidae,Zanobatus,Zanobatus schoenleinii,Zanobatus schoenleinii
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Anacanthobatis,Anacanthobatis marmorata,Anacanthobatis marmoratus
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Indobatis,Indobatis ori,Anacanthobatis ori
