RFMO,Year,faoEN,faoSp,Common,Species,Binding,Measure,Note1,Note2,Note3,Note4
GFCM,2015,NA,NA,NA,NA,binding,Recommendation,GFCM/39/2015/4Binding,Recommendation GFCM/39/2015/4 on management measures for piked dogfish in the Black Sea.,NA,NA
IATTC,2015,NA,NA,NA,NA,binding,Resolution,Resolution C-15-04Binding,Resolution on the Conservation of Mobulid rays caught in association with fisheries in the IATTC Convention Area.,NA,NA
IOTC,2015,NA,NA,NA,NA,binding,Resolution,Resolution 15/01Non Binding,On the recording of catch and effort data by fishing vessels in the IOTC area of competence.,NA,NA
IOTC,2015,NA,NA,NA,NA,binding,Resolution,Resolution 15/02Non Binding,Mandatory statistical reporting requirements for IOTC Contracting Parties and Cooperating Non-Contracting Parties (CPCS).,NA,NA
NEAFC,2015,NA,NA,NA,NA,binding,Recommendation,Recommendation 10: 2015Binding,Recommendation on conservation of sharks association with Fisheries Managed by the North-East Atlantic Fisheries Commission.,NA,NA
IATTC,2016,NA,NA,NA,NA,binding,Resolution,Resolution C-16-04Binding,Amendment to Resolution C-05-03 on the conservation of sharks caught in association with fisheries in the Eastern Pacific Ocean.,NA,NA
IATTC,2016,NA,NA,NA,NA,binding,Resolution,Resolution C-16-05Binding,Resolution on the management of shark species.,NA,NA
IOTC,2017,NA,NA,NA,NA,binding,Resolution,Resolution 17/05BindingReplaces,Concerning the conservation of sharks caught in association with fisheries managed by IOTC.,NA,NA
GFCM,2018,NA,NA,NA,NA,binding,Recommendation,GFCM/42/2018/2Binding,"Recommendation GFCM/42/2018/2 on fisheries management measures for the conservation of sharks and rays in the GFCM area of application, amending Recommendation GFCM/36/2012/3.",NA,NA
ICCAT,2018,NA,NA,NA,NA,binding,Recommendation,Rec. 18-06BindingReplaces,Recommendation by ICCAT to replace Recommendation 16-13 on improvement of compliance review of conservation and management measures regarding sharks caught in association with ICCAT fisheries.,NA,NA
IOTC,2018,NA,NA,NA,NA,binding,Resolution,Resolution 18/04Non Binding,On BIOFAD experimental project.,NA,NA
NEAFC,2018,NA,NA,NA,NA,binding,Conservation measure,Recommendation 7 : 2018BindingReplaces,Recommendation on Deep-Sea Fisheries within the NEAFC Regulatory Area.,NA,NA
ICCAT,2019,NA,NA,NA,NA,binding,Recommendation,Rec. 19-01Binding,"Recommendation by ICCAT on fishes considered to be tuna and tuna-like species or oceanic, pelagic, and highly migratory elasmobranchs.",NA,NA
WCPFC,2019,NA,NA,NA,NA,binding,Conservation measure,CMM 2019-05Binding,Conservation and Management Measure on Mobulid Rays caught in association with fisheries in the WCPFC Convention Area.,NA,NA
IATTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution C-19-01BindingReplaces,Amendment to resolution C-18-05 on the collection and analyses of data on fish-aggregating devices.,NA,NA
IATTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution C-04-05 (REV 3)Non BindingReplaces,Consolidated Resolution on Bycatch.,NA,NA
IOTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution 19/02BindingReplaces,Procedures on a fish aggregating devices (FADs) management plan.,NA,NA
IOTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution 19/03Binding,On the conservation of Mobulid rays caught in association with fisheries in the IOTC area of competence.,NA,NA
IOTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution 19/05BindingReplaces,"On a ban on discards of bigeye tuna, skipjack tuna, yellowfin tuna, and non-targeted species caught by purse seine vessels in the IOTC area of competence.",NA,NA
GFCM,2021,NA,NA,NA,NA,binding,Recommendation,GFCM/44/2021/16Binding,Recommendation GFCM/44/2021/1 on additional mitigation measures for the conservation of elasmobranchs in the Mediterranean Sea.,NA,NA
WCPFC,2021,NA,NA,NA,NA,binding,Recommendation,Suppl_CMM 2019-04Non Binding,Best Handling Practices for the Safe Release of Mantas & Mobulids.,NA,NA
SEAFO,2021,NA,NA,NA,NA,binding,Conservation measure,Reporting Obligations 2021BindingReplaces,Summary of Reporting Obligations 2021.,NA,NA
GFCM,2022,NA,NA,NA,NA,binding,Recommendation,GFCM/45/2022/13Binding,"Recommendation GFCM/45/2022/13 on the establishment of a GFCM logbook, amending Recommendation GFCM/35/2011/1.",NA,NA
WCPFC,2022,NA,NA,NA,NA,binding,Conservation measure,CMM 2022-04BindingReplaces,Conservation and Management Measure for Sharks.,NA,NA
CITES,2022,NA,NA,NA,Acroteriobatus omanensis,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus omanensis.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus zanzibarensis.,NA,NA
CITES,2022,NA,NA,NA,Pseudobatos buthi,binding,Appendix,Binding,CITES Appendix II - Pseudobatos buthi.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos austini,binding,Appendix,Binding,CITES Appendix II - Rhinobatos austini.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos borneensis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos borneensis.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos jimbaranensis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos jimbaranensis.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos manai,binding,Appendix,Binding,CITES Appendix II - Rhinobatos manai.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos nudidorsalis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos nudidorsalis.,NA,NA
