Class,Superorder,Order,Family,Genus,species_binomial,EDGE.Scientific.name,OldRLCategory,OldRLYear,GSTPRLCategory,GSTRLYear,MaxLinearDimension,MeasurementType,BodySizeClass,length.weight.a,length.weight.b,mass_50,mass_75,mass_max
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja tunae,Bathyraja tunae,DD,2008,LC,2018,97,TL,medium,0.00513,3.12,932.4629602,3303.971693,8106.720055
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja tzinovskii,Bathyraja tzinovskii,LC,2004,LC,2020,94,TL,medium,0.00513,3.12,845.4008533,2995.4868,7349.812641
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja violacea,Bathyraja violacea,DD,2007,LC,2020,107,TL,large,0.00513,3.12,1266.429928,4487.30814,11010.18843
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja aenigma,Brochiraja aenigma,DD,2008,DD,2017,44,TL,small,0.00513,3.12,79.15459466,280.4664113,688.1604604
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja albilabiata,Brochiraja albilabiata,DD,2008,DD,2017,65,TL,medium,0.00513,3.12,267.4197333,947.5413681,2324.914777
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja asperula,Brochiraja asperula,DD,2008,DD,2017,78,TL,medium,0.00513,3.12,472.3228312,1673.569172,4106.317496
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja heuresa,Brochiraja heuresa,NE,NA,DD,2017,38,TL,small,0.00513,3.12,50.09894727,177.5142935,435.5541806
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja leviveneta,Brochiraja leviveneta,DD,2008,DD,2017,51,TL,medium,0.00513,3.12,125.4650396,444.5570034,1090.777861
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja microspinifera,Brochiraja microspinifera,DD,2008,DD,2017,33,TL,small,0.00513,3.12,32.26021601,114.3067822,280.4664113
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja spinifera,Brochiraja spinifera,DD,2008,DD,2017,84,TL,medium,0.00513,3.12,595.1893494,2108.918902,5174.504127
